"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050803","GO:0050803","regulation of synapse structure or activity","42/1453","250/18870",1.2870853139355e-06,0.000668348301199963,0.000545256142085404,"SEMA4D/RELN/TNF/C1QL1/THBS2/ADGRL1/OGT/NLGN2/TUBA1A/SLITRK5/APOE/NEGR1/LRRC4B/LZTS3/RAB17/SRPX2/TIAM1/NEDD9/SLITRK3/VHL/GPM6A/ICAM5/NTN1/SNAP25/GRID1/FLRT3/SHANK3/FYN/EPHB2/SRCIN1/RHOB/FARP1/CLSTN1/DAG1/SLC17A7/TANC1/NRCAM/DNM3/OXTR/CYFIP1/NTNG2/SEMA4A",42
"GO:0050807","GO:0050807","regulation of synapse organization","41/1453","244/18870",1.70578253372386e-06,0.000811952486052556,0.000662412217262764,"SEMA4D/RELN/TNF/C1QL1/THBS2/ADGRL1/OGT/NLGN2/TUBA1A/SLITRK5/APOE/NEGR1/LRRC4B/LZTS3/RAB17/SRPX2/TIAM1/NEDD9/SLITRK3/VHL/GPM6A/ICAM5/NTN1/SNAP25/GRID1/FLRT3/SHANK3/FYN/EPHB2/SRCIN1/RHOB/FARP1/CLSTN1/DAG1/TANC1/NRCAM/DNM3/OXTR/CYFIP1/NTNG2/SEMA4A",41
"GO:0006898","GO:0006898","receptor-mediated endocytosis","42/1453","258/18870",2.97248709771129e-06,0.00124167929096481,0.00101299465964566,"LRP1/SERPINE1/HIP1/ABCA2/CD9/RAB31/CLU/ARRB2/ARRB1/ANKRD13B/FOLR1/APOE/CXCL8/CACNG8/C3/DNAJC6/USH1G/IGF2R/DLG4/ITGAV/LMBR1L/SNAP25/SCARB2/ACHE/TBC1D5/GREM1/CALCRL/WDR54/CD14/DNM3/SH3GL3/CD81/ITCH/INSR/CBL/SFRP4/AMN/TNK2/MSR1/B2M/PLCG2/GRK4",42
"GO:0006575","GO:0006575","cellular modified amino acid metabolic process","26/1453","126/18870",3.04333159550198e-06,0.00124167929096481,0.00101299465964566,"CKB/ASS1/PLA1A/GAMT/PCYOX1L/ALDH1L2/CPT1A/FOLR1/ICMT/CKMT1A/PLOD2/LOC102724560/CTSB/SLC27A1/SLC46A1/ALDH4A1/MTHFD1/MBOAT2/DHFR2/PRODH/HPN/ABHD12B/DHFR/GGACT/GART/SERINC5",26
"GO:0045785","GO:0045785","positive regulation of cell adhesion","66/1453","482/18870",3.31466198558876e-06,0.00125154890480881,0.00102104655049178,"PTAFR/IL18/RRAS/TNF/LYN/IL6/PTPRU/SERPINF2/CCN1/CYTH3/HLA-DMB/SAA1/ZP3/CD83/FBLN2/SDC4/CSPG5/CHST2/HLA-DMA/EFEMP2/HYAL1/COL26A1/EPB41L5/NFKBIZ/ITGAV/NEDD9/CD24/HLA-DQB1/DOCK5/TGM2/MEGF10/GLI2/MAGI1/CORO1A/CD70/CX3CL1/WNT10B/PODXL/SPN/LIMS2/NDNF/HLA-DRB1/LAMA1/FYN/JUP/ADA/TNFSF9/CALR/CCL5/ITGA5/TNFRSF18/DAG1/CCDC88B/BTN2A2/HLA-A/CD81/PREX1/CD74/B2M/SMARCD3/UNC13D/ADAM8/JAK2/THY1/CD47/MYADM",66
"GO:0051235","GO:0051235","maintenance of location","52/1453","350/18870",3.50573922915632e-06,0.00125154890480881,0.00102104655049178,"PLIN2/RNF213/LTBP1/GSN/GAA/NPC1/PLCB4/TNF/TPCN1/ANXA6/LYN/IL6/KDELR3/SREBF2/FTH1/INSIG2/SLC25A23/CPT1A/APOE/FBN1/F2R/PINK1/C3/LIPA/LDAF1/CHCHD10/TMEM38A/ITGAV/CXCL10/CORO1A/CX3CL1/HILPDA/SCIN/PTPRM/PLCE1/GSTM2/CALR/JPH1/HK1/CHD7/FKBP1B/P2RX7/CALM3/DMD/SCARB1/NFKBIA/MSR1/ATP2A1/PLCG2/TMSB15A/THY1/SUN1",52
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process","50/1453","334/18870",4.32224250343773e-06,0.00145227348115508,0.00118480294505999,"AKR1B1/MLXIPL/PTGDS/ALDH1A3/ASS1/GAMT/FADS3/SCD5/GGT7/PRKAG2/DPYD/INSIG2/SIRT2/ELOVL2/AKR1A1/WDTC1/SDS/PECR/SEPHS2/LTA4H/DAGLB/PLA2G4A/PTGS1/AKR1C3/GSTM4/ABAT/PLOD2/PRKAA2/PTGES/DSEL/LIPC/LOC102724560/TECR/ACOT7/LPGAT1/UROS/GSTM2/MTHFD1/UPB1/DHFR2/ASNS/OSBPL6/PYCR1/PHGDH/PNPLA8/CD74/ELOVL3/ACSS2/DHFR/SERINC5",50
"GO:0016053","GO:0016053","organic acid biosynthetic process","50/1453","337/18870",5.58173295647369e-06,0.00171484314387294,0.00139901418950418,"AKR1B1/MLXIPL/PTGDS/ALDH1A3/ASS1/GAMT/FADS3/SCD5/GGT7/PRKAG2/DPYD/INSIG2/SIRT2/ELOVL2/AKR1A1/WDTC1/SDS/PECR/SEPHS2/LTA4H/DAGLB/PLA2G4A/PTGS1/AKR1C3/GSTM4/ABAT/PLOD2/PRKAA2/PTGES/DSEL/LIPC/LOC102724560/TECR/ACOT7/LPGAT1/UROS/GSTM2/MTHFD1/UPB1/DHFR2/ASNS/OSBPL6/PYCR1/PHGDH/PNPLA8/CD74/ELOVL3/ACSS2/DHFR/SERINC5",50
"GO:0030199","GO:0030199","collagen fibril organization","17/1453","65/18870",5.70413510742049e-06,0.00171484314387294,0.00139901418950418,"COL5A1/COL1A1/SERPINF2/LOXL2/MMP11/COL18A1/COL14A1/FKBP10/EFEMP2/COL5A2/LOXL3/P4HA1/COL27A1/GREM1/LOXL4/ATP7A/ADAMTS12",17
"GO:0051402","GO:0051402","neuron apoptotic process","43/1453","278/18870",8.6894027846032e-06,0.00231872641062606,0.00189167805908919,"NES/SOD2/NGFR/TNF/CLU/TUBA1A/LGMN/ERBB3/AGAP2/NUPR1/APOE/F2R/STXBP1/PINK1/CEBPB/EGR1/UBB/AARS1/NLRP1/ADORA2A/CORO1A/POU4F1/CX3CL1/ATP13A2/NDNF/G6PD/SNX6/UCP2/ITGA1/MYB/SLC1A1/PYCR1/TYRO3/PRODH/TNFRSF21/FZD9/NSMF/ADAM8/FAM162A/JAK2/SARM1/SCN2A/BTG2",43
"GO:0006935","GO:0006935","chemotaxis","63/1453","468/18870",9.5652699216211e-06,0.00231872641062606,0.00189167805908919,"CCL20/PTAFR/SERPINE1/PADI2/SEMA3B/SEMA4D/FGFR1/DUSP1/LYN/IL6/C5AR1/S100A4/SEMA6B/ADGRA2/CCN1/SEMA3C/LGMN/SAA1/L1CAM/ARRB2/S100A14/TUBB2B/ABCC1/PDGFRB/ENPP2/CXCL8/TNFAIP6/ADAM17/TIAM1/CAMK1D/ITGAV/NEDD9/P2RX4/CXCL10/ROBO1/CXCL2/NTN1/CORO1A/CX3CL1/FLRT3/SPN/GAS6/MEGF8/BSG/PGF/PLA2G6/SEMA3G/CALR/ECSCR/CCL5/GREM1/ITGA1/NR4A1/MTUS1/F2RL1/PREX1/AKIRIN1/C5/CD74/SEMA3A/ADAM8/ZNF580/SEMA4A",63
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","25/1453","126/18870",9.69866991184126e-06,0.00231872641062606,0.00189167805908919,"SERPINE1/PADI2/DUSP1/LYN/IL6/C5AR1/LGMN/S100A14/CXCL8/TNFAIP6/ADAM17/CAMK1D/NEDD9/CXCL10/GAS6/PGF/CALR/CCL5/GREM1/MTUS1/F2RL1/AKIRIN1/C5/CD74/ZNF580",25
"GO:1905954","GO:1905954","positive regulation of lipid localization","23/1453","111/18870",1.03351832887837e-05,0.00231872641062606,0.00189167805908919,"LRP1/PLIN2/ERFE/SREBF2/APOE/C3/ABCA5/PLTP/PLA2G4A/P2RX4/PTGES/ABCA3/PRAP1/HILPDA/ABCG4/MYB/P2RX7/SCARB1/ACSL1/NFKBIA/BMP6/ABCB4/MSR1",23
"GO:0050890","GO:0050890","cognition","47/1453","317/18870",1.07489845028939e-05,0.00231872641062606,0.00189167805908919,"RELN/ASIC1/MAPT/TNF/C1QL1/C5AR1/TUBA1A/LGMN/EGFR/THRA/CCND2/ZNF385A/APOE/SERPINF1/KCNK2/DLG4/NEDD9/MAGT1/NETO1/RASGRF1/SNAP25/PAK6/MAP1A/SHANK3/FYN/EPHB2/SLC11A2/STRA6/ITGA5/TMOD2/CHD7/CAMK2N1/MAPK8IP2/TANC1/SLC1A1/MGAT3/GRIN1/OXTR/INSR/CYFIP1/SLC8A2/FZD9/B2M/SLC2A4/SCN2A/PLK2/BTG2",47
"GO:0062197","GO:0062197","cellular response to chemical stress","47/1453","317/18870",1.07489845028939e-05,0.00231872641062606,0.00189167805908919,"H19/AKR1B1/SOD2/MAPT/ANKRD2/IL6/FBLN5/HMOX1/EGFR/HM13/GPR37L1/SIRT2/SLC25A23/ABCC1/DHRS2/PINK1/ERMP1/PRDX2/EIF2AK3/EFHD1/SRXN1/PRKAA2/ATP13A2/G6PD/FYN/ARNT/PPARGC1B/RHOB/SOD3/MYB/SLC1A1/PYCR1/MGAT3/ERN1/PNPLA8/ATP7A/ZNF277/LRRC8E/GPR37/PAWR/ZFP36L1/AGAP3/SLC2A4/DHFR/SCN2A/ZNF580/BDKRB2",47
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","11/1453","31/18870",1.08631712096258e-05,0.00231872641062606,0.00189167805908919,"CTSV/LGMN/HLA-DMB/IFI30/HLA-DMA/HLA-DQB1/CTSF/HLA-DRB1/CD74/B2M/CTSE",11
"GO:0042330","GO:0042330","taxis","63/1453","470/18870",1.09603664367829e-05,0.00231872641062606,0.00189167805908919,"CCL20/PTAFR/SERPINE1/PADI2/SEMA3B/SEMA4D/FGFR1/DUSP1/LYN/IL6/C5AR1/S100A4/SEMA6B/ADGRA2/CCN1/SEMA3C/LGMN/SAA1/L1CAM/ARRB2/S100A14/TUBB2B/ABCC1/PDGFRB/ENPP2/CXCL8/TNFAIP6/ADAM17/TIAM1/CAMK1D/ITGAV/NEDD9/P2RX4/CXCL10/ROBO1/CXCL2/NTN1/CORO1A/CX3CL1/FLRT3/SPN/GAS6/MEGF8/BSG/PGF/PLA2G6/SEMA3G/CALR/ECSCR/CCL5/GREM1/ITGA1/NR4A1/MTUS1/F2RL1/PREX1/AKIRIN1/C5/CD74/SEMA3A/ADAM8/ZNF580/SEMA4A",63
"GO:0050900","GO:0050900","leukocyte migration","55/1453","396/18870",1.41668550324452e-05,0.00289003842661882,0.00235776944468552,"CCL20/PTAFR/SERPINE1/PADI2/TNF/DUSP1/LYN/CD9/IL6/ICAM1/C5AR1/LGMN/SAA1/ZP3/S100A14/HMOX1/PODXL2/CHST2/CXCL8/TNFAIP6/ADAM17/CAMK1D/ITGAL/NEDD9/P2RX4/CXCL10/CXCL2/CORO1A/CX3CL1/SPN/GAS6/FYN/BSG/ADA/PECAM1/PGF/CALR/ITGA2B/CCL5/CD99/GREM1/ITGA1/ECM1/TNFRSF18/MTUS1/CD81/F2RL1/PREX1/AKIRIN1/C5/CD74/ADAM8/THY1/ZNF580/CD47",55
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","37/1453","232/18870",1.80982888401507e-05,0.00352200190227229,0.00287334188805828,"NES/SOD2/TNF/CLU/LGMN/ERBB3/AGAP2/NUPR1/APOE/F2R/STXBP1/PINK1/CEBPB/EGR1/UBB/AARS1/ADORA2A/CORO1A/POU4F1/CX3CL1/ATP13A2/NDNF/G6PD/SNX6/UCP2/ITGA1/MYB/SLC1A1/PYCR1/TYRO3/PRODH/FZD9/NSMF/ADAM8/JAK2/SARM1/BTG2",37
"GO:0007613","GO:0007613","memory","24/1453","123/18870",1.94417303846152e-05,0.00352200190227229,0.00287334188805828,"RELN/ASIC1/MAPT/TUBA1A/LGMN/CCND2/APOE/SERPINF1/KCNK2/NETO1/RASGRF1/SNAP25/PAK6/MAP1A/SHANK3/ITGA5/CAMK2N1/SLC1A1/OXTR/INSR/SLC8A2/SLC2A4/SCN2A/PLK2",24
"GO:0007411","GO:0007411","axon guidance","37/1453","233/18870",1.99509356529368e-05,0.00352200190227229,0.00287334188805828,"KIF5C/NOTCH3/SEMA3B/SEMA4D/NGFR/RELN/SEMA6B/SEMA3C/ECE1/L1CAM/PTK7/TUBB2B/CNTN1/ARHGAP35/ADAM17/FEZ1/ROBO1/GLI2/NTN1/FLRT3/MEGF8/FYN/EPHB2/PTPRM/SEMA3G/ARHGEF25/LHX2/DAG1/PALLD/NRCAM/UNC5A/CYFIP1/SEMA3A/HMCN2/EPHA6/CYFIP2/SEMA4A",37
"GO:0097485","GO:0097485","neuron projection guidance","37/1453","233/18870",1.99509356529368e-05,0.00352200190227229,0.00287334188805828,"KIF5C/NOTCH3/SEMA3B/SEMA4D/NGFR/RELN/SEMA6B/SEMA3C/ECE1/L1CAM/PTK7/TUBB2B/CNTN1/ARHGAP35/ADAM17/FEZ1/ROBO1/GLI2/NTN1/FLRT3/MEGF8/FYN/EPHB2/PTPRM/SEMA3G/ARHGEF25/LHX2/DAG1/PALLD/NRCAM/UNC5A/CYFIP1/SEMA3A/HMCN2/EPHA6/CYFIP2/SEMA4A",37
"GO:0048880","GO:0048880","sensory system development","55/1453","401/18870",2.03477000656487e-05,0.00352200190227229,0.00287334188805828,"COL5A1/CRB2/NES/ALDH1A3/COL4A1/ACVRL1/EFEMP1/INHBA/HDAC1/EGFR/SH3PXD2B/MFAP2/PDGFRB/BIRC7/FBN1/GDF11/ARHGAP35/FREM2/AGTPBP1/C3/SERPINF1/TGIF2/COL5A2/COL8A2/CRYAB/VHL/GPM6A/SLC44A4/KDM5B/POU4F1/TBC1D32/LAMA1/ACHE/EPHB2/SDK1/PTPRM/STRA6/TMOD1/NEUROD1/CHD7/DLG1/LHX2/CLIC4/SLC17A7/SALL2/SLC1A1/PDE6B/CHRDL1/BMP6/TENM3/SEMA3A/SMARCD3/OSR2/MERTK/THY1",55
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","37/1453","234/18870",2.19756543345879e-05,0.0036561386194369,0.00298277415381232,"H19/SOD2/MAPT/TNF/IER3/CDKN1A/FBLN5/CCN1/SH3PXD2B/SIRT2/PDGFRB/CCN2/PINK1/LIPA/PRDX2/PRCP/CRYAB/AKR1C3/BCO2/LOC102724560/G6PD/FYN/NOXA1/UCP2/SOD3/RNF41/P2RX7/SLC1A1/GRIN1/ATP7A/F2RL1/RAB27A/PREX1/HBQ1/XDH/DHFR/PLCG2",37
"GO:0051602","GO:0051602","response to electrical stimulus","13/1453","45/18870",2.24028101681182e-05,0.0036561386194369,0.00298277415381232,"SOD2/AKAP12/ADSS1/PALM/KMT2C/CALR/NR4A1/P2RX7/CD14/CYFIP1/COX1/NSMF/BTG2",13
"GO:0010975","GO:0010975","regulation of neuron projection development","60/1453","453/18870",2.52677927114855e-05,0.0040091564435557,0.00327077538987562,"CRABP2/MAP2/SEMA3B/SEMA4D/RELN/MAPT/LYN/PTPRF/SEMA6B/SEMA3C/L1CAM/GDI1/RAB29/PTK7/KDM1A/TUBB2B/CNTN1/APOE/NEGR1/ITM2C/ARHGAP35/GFI1/LZTS3/SERPINF1/RAB17/TIAM1/CAMK1D/FEZ1/KREMEN1/ROBO1/METRN/PTK6/NTN1/SNAP25/CX3CL1/MEGF8/NDNF/SCARB2/SHANK3/FYN/SERPINI1/EPHB2/SRCIN1/PPP2R5B/SEMA3G/FKBP1B/NRCAM/ANKRD27/DNM3/BRSK2/CYFIP1/PREX1/NTNG2/TENM3/B2M/SEMA3A/NSMF/SARM1/THY1/SEMA4A",60
"GO:0006909","GO:0006909","phagocytosis","37/1453","237/18870",2.92298684753805e-05,0.00430836429685558,0.00351487703489968,"LRP1/GSN/TNF/MFGE8/LYN/RAB31/IL2RB/RAB7B/C3/EIF2AK1/CDC42SE1/CAMK1D/ITGAL/ITGAV/TGM2/SRPX/ADORA2A/MEGF10/ICAM5/CORO1A/GAS6/FYN/PECAM1/C4A/PLA2G6/CALR/P2RX7/CD14/SCARB1/TYRO3/F2RL1/RAB27A/MSR1/UNC13D/MERTK/PLCG2/CD47",37
"GO:0002478","GO:0002478","antigen processing and presentation of exogenous peptide antigen","12/1453","40/18870",3.0399605778285e-05,0.00430836429685558,0.00351487703489968,"CTSV/LGMN/HLA-DMB/IFI30/HLA-DMA/HLA-DQB1/CTSF/HLA-DRB1/HLA-A/CD74/B2M/CTSE",12
"GO:0006887","GO:0006887","exocytosis","49/1453","349/18870",3.07833523318832e-05,0.00430836429685558,0.00351487703489968,"PTAFR/LAT2/SYNGR1/UNC13A/PTGDS/LYN/BAIAP3/NKD2/RAB3B/RAB31/ZP3/SDC4/TNFAIP2/CSPG5/RAB11FIP1/STXBP1/SCAMP5/DOC2A/CBARP/SYT1/LIN7A/SYT12/EXOC3L4/CORO1A/SNAP25/SYTL4/ATP13A2/SNPH/SCIN/MICAL3/EXOC4/SRCIN1/RIMS3/CCL5/SEPTIN4/CACNB4/P2RX7/STEAP2/F2RL1/SYT8/BRSK2/CBL/PRSS12/LLGL2/RAB27A/FBXO45/UNC13D/PREPL/NAPB",49
"GO:0007611","GO:0007611","learning or memory","41/1453","274/18870",3.08878132177256e-05,0.00430836429685558,0.00351487703489968,"RELN/ASIC1/MAPT/C1QL1/TUBA1A/LGMN/EGFR/THRA/CCND2/ZNF385A/APOE/SERPINF1/KCNK2/DLG4/NEDD9/NETO1/RASGRF1/SNAP25/PAK6/MAP1A/SHANK3/FYN/EPHB2/SLC11A2/STRA6/ITGA5/TMOD2/CAMK2N1/MAPK8IP2/TANC1/SLC1A1/GRIN1/OXTR/INSR/SLC8A2/FZD9/B2M/SLC2A4/SCN2A/PLK2/BTG2",41
"GO:0051960","GO:0051960","regulation of nervous system development","61/1453","466/18870",3.09248837834521e-05,0.00430836429685558,0.00351487703489968,"CRABP2/MAP2/SEMA3B/SPINT1/SEMA4D/RELN/MAPT/TNF/THBS2/LYN/IL6/SEMA6B/NLGN2/SEMA3C/HDAC1/L1CAM/GDI1/GPR37L1/SIRT2/KDM1A/TNFRSF1B/SLITRK5/LRRC4B/SLC7A5/HLTF/EIF2AK3/MYRF/SERPINF1/SRPX2/TIAM1/SLITRK3/HAPLN3/ROBO1/TGM2/METRN/NTN1/POU4F1/CX3CL1/FLRT3/PRTG/MEGF8/SHANK3/EPHB2/SEMA3G/CLSTN1/CHD7/DLG1/LHX2/DAG1/MYB/LIN28A/ANKRD27/OXTR/CYFIP1/TNFRSF21/B2M/SEMA3A/SMARCD3/THY1/BTG2/SEMA4A",61
"GO:0052547","GO:0052547","regulation of peptidase activity","45/1453","312/18870",3.29716210551862e-05,0.00440785342541254,0.00359604288557816,"CLDN4/TIMP2/LRP1/SERPINE1/ATP2A3/CRB2/HIP1/CTSH/NGFR/GSN/MAPT/TNF/LYN/CTSV/SERPINF2/LGMN/ANXA8L1/HDAC1/SERPINA6/RECK/ANXA8/F2R/PINK1/EIF2AK3/SERPINF1/PERP/ROBO1/NLRP1/SERPINA1/CSTA/GAS6/ATP13A2/LAPTM5/FYN/SERPINI1/ECM1/GRIN1/SERPINB7/PIH1D1/CASP8AP2/CASP10/XDH/FAM162A/JAK2/CYFIP2",45
