"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","103/1840","458/18870",2.92888355633352e-16,1.3767988125988e-13,1.20930934000179e-13,"USP5/PSMB2/PSMB7/CAV1/PSMB6/ECPAS/VCP/AURKA/CDC20/PSMC1/PSMD11/PLK1/HSP90AB1/PSMC6/PRICKLE1/PSMC4/PEX10/PSMA7/PSMD14/PSMD3/PSMC5/PSMD2/UBE2C/PSMB5/PSMC3/PSMB3/ZFAND2A/HFE/PSMD13/PSMD1/RBX1/PSMA5/ANAPC1/CUL1/KAT5/NPLOC4/WWTR1/HSPBP1/ANAPC7/PSMD12/CUL4A/PSMA1/TRIP12/ADRM1/SKP1/UBR3/PSMB4/BCAP31/NSFL1C/PSMC2/PML/UBE2A/KEAP1/PSMA2/PBK/AUP1/PSMA6/KIF14/UBXN11/DERL1/PSMD8/PSMD7/PSMB1/TLK2/PSMD10/FEM1C/CCNF/AKT1/USP14/PSMF1/ANAPC2/KCTD5/COMMD1/PSMD6/CCAR2/TRIM39/UFD1/HECTD3/DDRGK1/ARAF/CSNK1D/PSMA4/SMURF1/FBXL3/CRBN/TRIM38/UBQLN1/FBXL19/PPP2CB/TAF9/DERL2/CDC26/UBQLN2/PSMA3/TRIM13/UCHL1/PHF20L1/LRRK2/HECTD1/PSMD4/HSPA1A/FBXO7/CTNNB1",103
"GO:0098813","GO:0098813","nuclear chromosome segregation","80/1840","312/18870",2.94135405931735e-16,1.3767988125988e-13,1.20930934000179e-13,"CCNB1/AURKA/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/TERF1/RAN/PMF1/KIF4A/UBE2C/SMARCD1/PPP2R1A/FAM83D/RCC2/ANAPC1/KIF22/KAT5/PTTG1/ANAPC7/MAD1L1/PSRC1/CHMP3/KPNB1/CHMP6/CCNB2/KIF23/AGO4/KIF18B/NUDC/DLGAP5/MAPRE1/ARID1A/ASPM/STAG1/ARID2/KIF14/KNSTRN/TPX2/RACGAP1/INCENP/DYNC1LI1/ZCWPW1/FANCD2/IK/SMARCB1/NEK2/BIRC5/ACTB/KIF2C/NCAPG2/ANAPC2/POLDIP2/C9orf78/AAAS/ZW10/ESPL1/FLNA/CENPF/TACC3/CHMP4B/PBRM1/CEP97/NDC80/BUB3/RRS1/SPC25/NDC1/CHMP4C/INO80/SEH1L/NIPBL/ACTR3/BCL7B/HSPA1A/DPF2/ARID1B/GEN1",80
"GO:0016072","GO:0016072","rRNA metabolic process","71/1840","264/18870",9.8549937096701e-16,4.25811535901669e-13,3.74010975847966e-13,"GTF3C6/UTP20/DHX37/EBNA1BP2/MRTO4/MACROH2A1/EIF6/DDX56/NCL/RRP9/NAT10/MTOR/EXOSC10/PWP1/NHP2/DROSHA/TSR1/WDR74/POP4/PES1/SPIN1/NGDN/HEATR1/TRMT2B/NOL6/RRP1/MTREX/EMG1/RPP30/PA2G4/NOL8/EXOSC3/BMS1/POLR1B/BUD23/DDX10/RRP15/SMARCB1/NOB1/TSR3/LAS1L/URB1/TBL3/LSM6/SLFN12/LOC102724159/DDX18/NOP9/NSUN4/UTP18/SUV39H1/NSA2/DDX54/DKC1/TSR2/KRR1/RRS1/DDX21/NUDT16/RPUSD4/SART1/IMP4/GTF3C3/WDR3/NOP2/RNASEL/NOL9/DDX27/WDR18/ABT1/NOC4L",71
"GO:0006403","GO:0006403","RNA localization","59/1840","197/18870",1.37622661734164e-15,5.52161779257713e-13,4.84990538006035e-13,"TERF1/RAN/RBM8A/HNRNPA1/ALYREF/HNRNPA2B1/CCT3/RAE1/UPF1/IGF2BP1/CPSF6/EXOSC10/NHP2/KPNB1/MX2/NUP88/SMG5/DDX39A/CCT5/MVP/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/PNPT1/NUP214/PRPF6/MAGOH/MCM3AP/NUP188/POM121/CCT6A/NUP107/YBX1/NUP37/AAAS/RUVBL2/POLDIP3/CCT7/MAGOHB/DKC1/RUVBL1/GLE1/NRDE2/NDC1/ENY2/PARP11/PEG10/CETN2/SEH1L/KHSRP/NUP93/ALKBH5/UPF3A/ZC3H3/CCT2/POM121C/SEC13",59
"GO:0006364","GO:0006364","rRNA processing","62/1840","225/18870",1.94265866068675e-14,7.27460913138499e-12,6.38964290711495e-12,"UTP20/DHX37/EBNA1BP2/MRTO4/EIF6/DDX56/RRP9/NAT10/EXOSC10/PWP1/NHP2/DROSHA/TSR1/WDR74/POP4/PES1/NGDN/HEATR1/TRMT2B/NOL6/RRP1/MTREX/EMG1/RPP30/PA2G4/NOL8/EXOSC3/BMS1/BUD23/DDX10/RRP15/NOB1/TSR3/LAS1L/URB1/TBL3/LSM6/LOC102724159/DDX18/NOP9/NSUN4/UTP18/SUV39H1/NSA2/DDX54/DKC1/TSR2/KRR1/RRS1/DDX21/NUDT16/RPUSD4/SART1/IMP4/WDR3/NOP2/RNASEL/NOL9/DDX27/WDR18/ABT1/NOC4L",62
"GO:0006913","GO:0006913","nucleocytoplasmic transport","79/1840","330/18870",2.67516134449011e-14,8.83904780705937e-12,7.76376546230658e-12,"RAPGEF3/PRICKLE1/ANP32B/RAN/RBM8A/HNRNPA1/MDFIC/ALYREF/EIF4ENIF1/HNRNPA2B1/EIF6/IPO4/MAVS/LZTS2/KPNA4/KPNA2/RAE1/UPF1/LMNA/CPSF6/KPNB1/TNPO1/MX2/PML/HSP90AA1/NUP88/NOTCH1/SMG5/DDX39A/BAG3/IPO11/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/HTATIP2/CRY2/NUP214/MAGOH/MCM3AP/ZPR1/NUP188/POM121/NUP107/TRIM28/RBM22/NUP37/AKT1/AAAS/POLDIP3/FERMT1/PIK3R1/FLNA/NOP9/MAGOHB/LTV1/ABCE1/CDAN1/DMAP1/TNPO3/TXN/GLE1/NRDE2/PHB2/SMURF1/NDC1/ENY2/CSE1L/IPO5/SEH1L/RSRC1/NUP93/LRRK2/ALKBH5/IPO8/UBE2I/POM121C/SEC13",79
"GO:0051169","GO:0051169","nuclear transport","79/1840","330/18870",2.67516134449011e-14,8.83904780705937e-12,7.76376546230658e-12,"RAPGEF3/PRICKLE1/ANP32B/RAN/RBM8A/HNRNPA1/MDFIC/ALYREF/EIF4ENIF1/HNRNPA2B1/EIF6/IPO4/MAVS/LZTS2/KPNA4/KPNA2/RAE1/UPF1/LMNA/CPSF6/KPNB1/TNPO1/MX2/PML/HSP90AA1/NUP88/NOTCH1/SMG5/DDX39A/BAG3/IPO11/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/HTATIP2/CRY2/NUP214/MAGOH/MCM3AP/ZPR1/NUP188/POM121/NUP107/TRIM28/RBM22/NUP37/AKT1/AAAS/POLDIP3/FERMT1/PIK3R1/FLNA/NOP9/MAGOHB/LTV1/ABCE1/CDAN1/DMAP1/TNPO3/TXN/GLE1/NRDE2/PHB2/SMURF1/NDC1/ENY2/CSE1L/IPO5/SEH1L/RSRC1/NUP93/LRRK2/ALKBH5/IPO8/UBE2I/POM121C/SEC13",79
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","54/1840","184/18870",5.58344737358737e-14,1.74234577208002e-11,1.53038700818737e-11,"CCNB1/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/RAN/KIF4A/UBE2C/PPP2R1A/KIF22/KAT5/ANAPC7/MAD1L1/PSRC1/CHMP3/KPNB1/CHMP6/KIF23/KIF18B/NUDC/DLGAP5/MAPRE1/STAG1/KIF14/KNSTRN/TPX2/RACGAP1/INCENP/DYNC1LI1/IK/NEK2/BIRC5/KIF2C/NCAPG2/POLDIP2/AAAS/ZW10/ESPL1/FLNA/CENPF/CHMP4B/CEP97/NDC80/BUB3/RRS1/SPC25/CHMP4C/INO80/SEH1L/NIPBL/HSPA1A/GEN1",54
"GO:0034504","GO:0034504","protein localization to nucleus","75/1840","310/18870",6.77601657575165e-14,2.003204479263e-11,1.75951189421318e-11,"MEPCE/HDGF/PLK1/PRICKLE1/RAN/SUMO3/MDFIC/LMNB1/EIF4ENIF1/CCT3/DTX3L/MCRS1/YWHAZ/LAMTOR5/IPO4/MAVS/LZTS2/KPNA4/WWTR1/KPNA2/SKP1/MTOR/LMNA/TESK1/YAP1/KPNB1/TNPO1/GLUL/PML/HSP90AA1/NUP88/NOTCH1/CCT5/PARP9/BAG3/CREBBP/IPO11/SNUPN/CARD10/CRY2/NUP214/NOL8/ZPR1/NUP188/POM121/TRIM8/CCT6A/NUP107/TRIM28/RBM22/POLR1A/AKT1/WRN/TAF8/FERMT1/PIK3R1/CCT7/FLNA/TMEM147/DKC1/DMAP1/TNPO3/TXN/RRS1/PHB2/PLRG1/CSE1L/IPO5/NUP93/LRRK2/IPO8/LARP7/CCT2/POM121C/SEC13",75
"GO:0140014","GO:0140014","mitotic nuclear division","69/1840","274/18870",8.60316819033599e-14,2.41619978625586e-11,2.12226575305815e-11,"CCNB1/AURKA/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/SPHK1/RAN/KIF4A/UBE2C/BANF1/PPP2R1A/KIF22/KAT5/ANAPC7/MAD1L1/PSRC1/CHMP3/CAV2/KPNB1/NSFL1C/CHMP6/KIF23/KIF18B/NUDC/DLGAP5/MAPRE1/STAG1/KIF14/KNSTRN/AURKAIP1/TPX2/RACGAP1/INCENP/PRMT5/DYNC1LI1/IK/OBSL1/NEK2/BIRC5/REEP4/KIF2C/NCAPG2/POLDIP2/AAAS/MKI67/USP16/ZW10/ESPL1/FLNA/CENPF/BORA/CHMP4B/BTC/CEP97/NDC80/BUB3/RRS1/PHB2/SPC25/CHMP4C/INO80/SEH1L/NIPBL/HSPA1A/UBE2I/GEN1",69
"GO:0140053","GO:0140053","mitochondrial gene expression","49/1840","163/18870",2.98535495197444e-13,7.6221539842002e-11,6.69490844971493e-11,"MRPL9/MRPS15/RCC1L/MRPS7/FASTKD2/MRPL27/MRPL51/ELAC2/MRPL35/MRPL3/TACO1/MTIF2/PRORP/MRPL11/MRPL20/PTCD3/MTG2/PNPT1/MRPS22/AURKAIP1/MRPL23/MRPS34/MRPL22/MPV17L2/GADD45GIP1/HARS1/MRPL55/WARS2/MRPL54/MRPL45/MRPL39/MRPS16/MRPL58/MRPL15/TRUB2/MRPS18C/TBRG4/LARS2/FASTKD5/HSD17B10/RPUSD4/MRPS35/MRPL38/GATB/PUS1/EARS2/TWNK/YARS2/MRPS11",49
"GO:1902850","GO:1902850","microtubule cytoskeleton organization involved in mitosis","49/1840","163/18870",2.98535495197444e-13,7.6221539842002e-11,6.69490844971493e-11,"CCNB1/VCP/AURKA/CDC20/CDCA8/PLK1/PRICKLE1/RAN/KIF4A/KAT5/PSRC1/RAE1/CHMP3/WDR62/KPNB1/NSFL1C/CHMP6/KIF23/NUDC/DLGAP5/MAPRE1/STAG1/SAPCD2/TPX2/TACC2/PCNT/RACGAP1/INCENP/NEK2/BIRC5/POLDIP2/AAAS/PTPA/ZW10/ESPL1/FLNA/TACC3/BORA/CHMP4B/FAM110A/STMN1/CEP97/NDC80/SPC25/CHMP4C/HSPA1A/SPRY2/PARP3/CENPA",49
"GO:0051236","GO:0051236","establishment of RNA localization","48/1840","161/18870",7.31828506809815e-13,1.78725248815249e-10,1.56983076037419e-10,"TERF1/RAN/RBM8A/HNRNPA1/ALYREF/HNRNPA2B1/RAE1/UPF1/IGF2BP1/CPSF6/KPNB1/MX2/NUP88/SMG5/DDX39A/MVP/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/PNPT1/NUP214/MAGOH/MCM3AP/NUP188/POM121/NUP107/YBX1/NUP37/AAAS/POLDIP3/MAGOHB/GLE1/NRDE2/NDC1/ENY2/PARP11/PEG10/CETN2/SEH1L/KHSRP/NUP93/ALKBH5/UPF3A/ZC3H3/POM121C/SEC13",48
"GO:0007051","GO:0007051","spindle organization","55/1840","202/18870",9.81954549266039e-13,2.29818279301139e-10,2.01860568965348e-10,"CCNB1/VCP/AURKA/CDC20/CDCA8/PLK1/PRICKLE1/SPAG5/RAN/KIF4A/CHD3/TUBB/PPP2R1A/LZTS2/PSRC1/RAE1/CHMP3/WDR62/KPNB1/CHMP6/CCNB2/KIF23/NUDC/DLGAP5/MAPRE1/ASPM/STAG1/KNSTRN/TPX2/TACC2/PCNT/RACGAP1/INCENP/NEK2/BIRC5/POLDIP2/TUBGCP6/AAAS/PTPA/ESPL1/FLNA/TACC3/BORA/CHMP4B/FAM110A/EZR/STMN1/CEP97/NDC80/CSNK1D/SPC25/CHMP4C/INO80/HSPA1A/PARP3",55
"GO:0050657","GO:0050657","nucleic acid transport","47/1840","158/18870",1.38677793809666e-12,2.99597372241883e-10,2.63150939103606e-10,"RAN/RBM8A/HNRNPA1/ALYREF/HNRNPA2B1/RAE1/UPF1/IGF2BP1/CPSF6/KPNB1/MX2/NUP88/SMG5/DDX39A/MVP/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/PNPT1/NUP214/MAGOH/MCM3AP/NUP188/POM121/NUP107/YBX1/NUP37/AAAS/POLDIP3/MAGOHB/GLE1/NRDE2/NDC1/ENY2/PARP11/PEG10/CETN2/SEH1L/KHSRP/NUP93/ALKBH5/UPF3A/ZC3H3/POM121C/SEC13",47
"GO:0050658","GO:0050658","RNA transport","47/1840","158/18870",1.38677793809666e-12,2.99597372241883e-10,2.63150939103606e-10,"RAN/RBM8A/HNRNPA1/ALYREF/HNRNPA2B1/RAE1/UPF1/IGF2BP1/CPSF6/KPNB1/MX2/NUP88/SMG5/DDX39A/MVP/SNUPN/PABPN1/NOL6/KHDRBS1/SRSF3/PNPT1/NUP214/MAGOH/MCM3AP/NUP188/POM121/NUP107/YBX1/NUP37/AAAS/POLDIP3/MAGOHB/GLE1/NRDE2/NDC1/ENY2/PARP11/PEG10/CETN2/SEH1L/KHSRP/NUP93/ALKBH5/UPF3A/ZC3H3/POM121C/SEC13",47
"GO:0071826","GO:0071826","protein-RNA complex organization","61/1840","243/18870",2.73893707249164e-12,5.69800353192056e-10,5.00483355117673e-10,"VCP/HSP90AB1/SF3A1/MRTO4/EIF6/MRPS7/WDR77/FASTKD2/EIF5/CPSF6/YJU2/SNRPA1/RBM5/TSSC4/SNRPF/HSP90AA1/EIF3F/PUF60/AGO4/ERAL1/MRPL20/NOPCHAP1/PRPF19/SNRPC/SF3B4/DDX23/PRPF6/PRPF31/SRSF6/CD2BP2/XAB2/PRMT5/TARBP2/XRCC5/TFIP11/RUVBL2/LOC102724159/EIF3G/EIF3I/SF3B3/RUVBL1/ADAR/EIF3J/RRS1/PHF5A/SNRPB2/SART1/BUD13/DDX1/SNRNP200/AAR2/SFSWAP/TAF9/EIF3B/NOP2/SCAF11/HTATSF1/GEMIN5/DDX20/ABT1/COIL",61
