"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098813","GO:0098813","nuclear chromosome segregation","96/3292","312/18870",4.71868573755376e-09,2.6815004132226e-06,2.1945275296183e-06,"CCNB1/AURKA/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/TERF1/RAN/DUSP1/PMF1/KIF4A/UBE2C/SMARCD1/PPP2R1A/FAM83D/RCC2/ANAPC1/SIRT2/KIF22/KAT5/PTTG1/ANAPC7/MAD1L1/PSRC1/TEX15/CHMP3/KPNB1/CHMP6/CCNB2/KIF23/AGO4/KIF18B/NUDC/DLGAP5/MAPRE1/NUSAP1/ARID1A/ASPM/STAG1/KLHL22/ARID2/KIF14/KNSTRN/TPX2/MSH5/CCNE1/RACGAP1/INCENP/DYNC1LI1/ZCWPW1/FANCD2/IK/SMARCB1/PRAP1/NEK2/BIRC5/ACTB/KIF2C/NCAPG2/ANAPC2/POLDIP2/C9orf78/AAAS/MEIOB/ABRAXAS1/ZW10/ESPL1/FLNA/CENPF/TACC3/CHMP4B/KLHDC8B/PBRM1/CEP97/RMI2/NDC80/BUB3/RRS1/FMN2/SPC25/NDC1/CHMP4C/INO80/SEH1L/NUP62/SMARCD3/NIPBL/ACTR3/BCL7B/HSPA1A/DPF2/SUN1/ARID1B/GEN1",96
"GO:1903829","GO:1903829","positive regulation of protein localization","133/3292","476/18870",6.09099197987414e-09,3.17289923884944e-06,2.59668605457792e-06,"LRP1/RAPGEF3/MEPCE/PLK1/NGFR/HSP90AB1/ANKRD1/MAPT/TNF/ANP32B/RAN/BAIAP3/NKD2/NLGN2/CCT3/DTX3L/MCRS1/LAMTOR5/SREBF2/F2RL2/PRKAR1A/PRNP/EGFR/RAB29/MAVS/MSN/MPC2/ABLIM3/UBE2L3/WWTR1/NMT1/MARK4/WLS/ARHGEF5/LEPROT/TESK1/YAP1/BCAP31/TNFAIP6/CIB1/PINK1/PLS1/HSP90AA1/EIF2AK3/CCT5/PARP9/BAG3/CREBBP/B3GAT3/PPIA/STAC3/PDZK1/NEDD9/ABAT/CARD10/FIS1/BAP1/PRKAA2/CEP250/ADORA2A/MIEF2/SH3GLB1/ZPR1/PCNT/EIF4G1/SNAP25/STX4/TRIM8/SAR1B/CCT6A/PTPN9/TRIM28/RBM22/SYTL4/AKAP5/GAS6/ATP13A2/IRS2/HLA-DRB1/MAP1A/FYN/JUP/ACHE/GNL3L/EPHB2/AKT1/PECAM1/CNST/PLA2G6/SORBS1/SAE1/PIK3R1/CCT7/FLNA/OSBP/PRKCE/DLG1/EZR/DKC1/CACNB4/P2RX7/DDRGK1/EPB41/DMAP1/MGAT3/VPS35/TM7SF3/CD81/KCNN4/PTPN23/F2RL1/STX3/PGRMC1/SLC2A2/BMP6/VEGFC/ATP2C1/IPO5/CEP135/EPB41L2/NUP62/GNL3/PDCD5/ADAM8/JAK2/CAPN10/AKT2/ENTR1/TMEM132A/ERBB2/LARP7/MESD/CCT2",133
"GO:0007051","GO:0007051","spindle organization","69/3292","202/18870",6.75885313984065e-09,3.24996853670338e-06,2.65975921130571e-06,"CCNB1/VCP/AURKA/CDC20/CDCA8/PLK1/PRICKLE1/SPAG5/RAN/KIF4A/CHD3/TUBB/FSD1/PPP2R1A/LZTS2/PSRC1/RAE1/CHMP3/WDR62/KPNB1/CHMP6/GOLGA8G/MAPRE3/CCNB2/KIF23/ATRX/NUDC/DLGAP5/MAPRE1/EFHC1/ASPM/STAG1/KNSTRN/TPX2/TACC2/PCNT/RACGAP1/INCENP/NEK2/BIRC5/POLDIP2/TUBGCP6/AAAS/PTPA/CCDC69/ABRAXAS1/ESPL1/FLNA/TACC3/BORA/CHMP4B/FAM110A/DLG1/EZR/STMN1/RNF4/CEP97/NDC80/KIZ/CSNK1D/GOLGA8A/SPC25/CHMP4C/INO80/GOLGA8B/NUP62/HSPA1A/PARP3/PLK2",69
"GO:0051054","GO:0051054","positive regulation of DNA metabolic process","92/3292","298/18870",8.17938374876256e-09,3.65209484382249e-06,2.98885752022452e-06,"ANXA3/BRD8/HSP90AB1/TERF1/BABAM1/TNF/CLCF1/FOXM1/HNRNPA1/IL6/CD40/CCNA2/SMARCD1/HNRNPA2B1/CCT3/MCRS1/EGFR/KAT5/HMGB1/SSBP1/PDGFRB/FUS/CHTF8/STAT6/NBN/PML/HSP90AA1/CCT5/ATRX/HNRNPD/CYP1B1/DBF4/EPC2/ARID1A/ARID2/DBF4B/BCAR3/FANCB/GLI2/FAM168A/RNF168/EXOSC3/CCT6A/ACTR8/ZCWPW1/TRIM28/SMARCB1/GFER/NEK2/ACTB/XRCC5/RTEL1/EPC1/AKT1/WRN/PIAS4/WIZ/RFC2/RUVBL2/CCT7/ABRAXAS1/HNRNPAB/GREM1/PNKP/BABAM2/MAP2K4/DKC1/KMT5C/PRKDC/PBRM1/RUVBL1/INO80E/DMAP1/ATF1/FMN2/RFC5/SPIRE1/INO80/DDX11/BRPF3/INO80D/INO80B/SMARCD3/GNL3/TFPT/BCL7B/NFATC1/PARP3/DPF2/CTNNB1/ARID1B/CCT2",92
"GO:0042176","GO:0042176","regulation of protein catabolic process","107/3292","364/18870",1.02624759388519e-08,4.27671580625088e-06,3.50004442546107e-06,"USP5/TIMP2/LRP1/CAV1/VCP/AURKA/CDC20/PSMC1/ABCA2/PHB1/PLK1/SERPINE2/HSP90AB1/PSMC6/PRICKLE1/PSMC4/TNF/PSMD14/NKD2/PSMD3/OGT/PSMC5/PSMD2/IER3/PSMC3/CLU/ZFAND2A/HFE/LAPTM4B/PSMD1/RBX1/FAM83D/AGAP2/EGFR/SIRT2/MSN/NUPR1/MARCHF2/HSPBP1/TNFRSF1B/CUL4A/APOE/FBXO2/UBR3/HGS/ODC1/BCAP31/PSMC2/EEF1A2/CHMP6/PINK1/HSP90AA1/TMTC3/ANXA2/KEAP1/CSNK1E/PBK/RNF144A/UBB/PSME2/WNT10B/ATP13A2/TLK2/RHBDD3/PSMD10/MAP1A/FYN/SGSM3/BAG2/AKT1/USP14/PSMF1/COMMD1/DCAF1/CCAR2/TRIM39/ECSCR/FLNA/CYP51A1/CAMLG/EZR/RNF41/DDRGK1/SF3B3/NUDT15/ARAF/CST3/MGAT3/CSNK1D/VPS35/FMN2/CD81/ITCH/UBQLN1/TAF9/UBQLN2/RILP/USP25/PSME3IP1/DTL/PHF20L1/ADAM8/LRRK2/HECTD1/HSPA1A/TMEM132A/PLK2",107
"GO:0000819","GO:0000819","sister chromatid segregation","74/3292","225/18870",1.24780051717905e-08,4.87500064555391e-06,3.98967796940144e-06,"CCNB1/CDC20/CDCA8/PLK1/BUB1/PRICKLE1/SPAG5/RAN/DUSP1/KIF4A/UBE2C/SMARCD1/PPP2R1A/ANAPC1/KIF22/KAT5/ANAPC7/MAD1L1/PSRC1/CHMP3/KPNB1/CHMP6/KIF23/KIF18B/NUDC/DLGAP5/MAPRE1/NUSAP1/ARID1A/STAG1/KLHL22/ARID2/KIF14/KNSTRN/TPX2/RACGAP1/INCENP/DYNC1LI1/IK/SMARCB1/PRAP1/NEK2/BIRC5/ACTB/KIF2C/NCAPG2/ANAPC2/POLDIP2/AAAS/ABRAXAS1/ZW10/ESPL1/FLNA/CENPF/TACC3/CHMP4B/PBRM1/CEP97/RMI2/NDC80/BUB3/RRS1/SPC25/CHMP4C/INO80/SEH1L/NUP62/SMARCD3/NIPBL/BCL7B/HSPA1A/DPF2/ARID1B/GEN1",74
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","100/3292","336/18870",1.54748644529645e-08,5.38796914063024e-06,4.40948901202552e-06,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/WDR77/NCL/HNRNPL/KDM1A/HNRNPH1/RBM42/HNRNPH3/DHX38/YJU2/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX39A/PUF60/DDX41/HNRNPC/SNRPA/MFAP1/RBM20/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/DDX23/MTREX/PRPF6/DYRK1A/PRPF31/MAGOH/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/SNRNP40/XAB2/PRMT5/EFTUD2/RBM22/PQBP1/IK/PPIH/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SON/SF3B3/METTL3/PHF5A/LSM3/SRSF2/SNRPB2/SART1/RNPC3/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/LSM7/PLRG1/PPIL1/SCAF11/RBFOX2/PCBP4/KHSRP/HTATSF1/RSRC1/PRPF40B/GEMIN5/DDX20/CWC15/CIRBP/LARP7/SFPQ/COIL/RBM39",100
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","99/3292","332/18870",1.63768058985721e-08,5.38796914063024e-06,4.40948901202552e-06,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/WDR77/NCL/HNRNPL/KDM1A/HNRNPH1/RBM42/HNRNPH3/DHX38/YJU2/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX39A/PUF60/DDX41/HNRNPC/SNRPA/MFAP1/RBM20/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/DDX23/MTREX/PRPF6/DYRK1A/PRPF31/MAGOH/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/SNRNP40/XAB2/PRMT5/EFTUD2/RBM22/PQBP1/IK/PPIH/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SON/SF3B3/METTL3/PHF5A/LSM3/SRSF2/SNRPB2/SART1/RNPC3/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/LSM7/PLRG1/PPIL1/SCAF11/RBFOX2/PCBP4/HTATSF1/RSRC1/PRPF40B/GEMIN5/DDX20/CWC15/CIRBP/LARP7/SFPQ/COIL/RBM39",99
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","99/3292","332/18870",1.63768058985721e-08,5.38796914063024e-06,4.40948901202552e-06,"RBM3/HNRNPM/SF3A1/RBM8A/HNRNPA1/RBM19/ALYREF/HNRNPA2B1/DCPS/HNRNPA3/WDR77/NCL/HNRNPL/KDM1A/HNRNPH1/RBM42/HNRNPH3/DHX38/YJU2/PTBP1/U2AF2/SNRPA1/RBM5/TSSC4/SNRPF/DDX39A/PUF60/DDX41/HNRNPC/SNRPA/MFAP1/RBM20/PRPF19/SNRPC/DHX16/KHDRBS1/SRSF3/SF3B4/DDX23/MTREX/PRPF6/DYRK1A/PRPF31/MAGOH/LSM5/PRDX6/SRSF6/CWF19L1/CD2BP2/SNRNP40/XAB2/PRMT5/EFTUD2/RBM22/PQBP1/IK/PPIH/PRPF38A/HSPA8/C9orf78/TFIP11/SYNCRIP/CACTIN/LSM6/MAGOHB/ZMAT2/SON/SF3B3/METTL3/PHF5A/LSM3/SRSF2/SNRPB2/SART1/RNPC3/BUD13/U2AF1/DDX1/SNRNP200/AAR2/RBM15/SFSWAP/LSM7/PLRG1/PPIL1/SCAF11/RBFOX2/PCBP4/HTATSF1/RSRC1/PRPF40B/GEMIN5/DDX20/CWC15/CIRBP/LARP7/SFPQ/COIL/RBM39",99
"GO:0140694","GO:0140694","non-membrane-bounded organelle assembly","116/3292","408/18870",1.99239584029978e-08,6.22723319885697e-06,5.09633883360892e-06,"KRT19/AURKA/CDC20/RNF213/FLII/CDCA8/PLK1/GSN/PRICKLE1/SPAG5/ANKRD1/MAPT/TNF/DHX37/KIF4A/MRTO4/EIF4ENIF1/TUBB/DAZAP2/EIF6/MRPS7/PRKAR1A/SH3PXD2B/MSN/LZTS2/PDGFRB/CFLAR/FASTKD2/CSRP2/ARHGEF5/CHMP3/EIF5/WDR62/KPNB1/CHMP6/GOLGA8G/MAPRE3/WDR1/PLS1/CCNB2/CSDE1/NIP7/CENPT/CNOT7/LDAF1/KIF23/ERAL1/AUP1/MRPL20/DLGAP5/MAPRE1/CAPRIN1/ASPM/STAG1/CENPX/AKAP13/PRKAA2/DOCK5/TPX2/RACGAP1/INCENP/MPV17L2/UBAP2L/OBSL1/CSF2/NEK2/BIRC5/XRCC5/POLDIP2/TUBGCP6/AAAS/CCDC69/PAN3/ABRAXAS1/LOC102724159/FSCN1/TMOD1/FLNA/CENPF/TMOD2/CHMP4B/EZR/DDX6/RNF4/PRKDC/CEP97/NDC80/RRS1/CSNK1D/MYL9/LSM3/DBNL/ACTG1/GOLGA8A/CNOT6L/EIF1AX/CHMP4C/FLNC/INO80/GOLGA8B/CETN2/NOP2/CEP135/NUP62/PLEC/RC3H1/LCP1/KIAA0753/CNOT1/CNOT2/HSPA1A/YTHDF3/CIRBP/PLK2/ABT1/CENPA",116
